id,est_id,date,extra_credit,grade,score,final_score,type
1525338,56676,2012-02-15,Y,A,94.0,96.0,1 - INSPECTION
1525457,86968,2012-02-16,N,A,98.0,98.0,1 - INSPECTION
1525462,56565,2012-02-16,Y,A,96.0,98.0,1 - INSPECTION
1525600,56061,2012-02-16,Y,A,99.0,101.0,1 - INSPECTION
1525623,85604,2012-02-17,Y,A,95.0,97.0,1 - INSPECTION
1525626,87449,2012-02-17,Y,A,99.0,101.0,1 - INSPECTION
1525722,86185,2012-02-16,N,A,94.0,94.0,1 - INSPECTION
1333461,57190,2011-05-05,Y,A,98.0,100.0,1 - INSPECTION
1333645,58126,2011-05-06,Y,A,99.0,101.0,1 - INSPECTION
1333665,56081,2011-05-06,N,A,99.0,99.0,1 - INSPECTION
1333911,56993,2011-05-09,N,A,96.0,96.0,1 - INSPECTION
1333991,57825,2011-05-06,N,A,99.0,99.0,1 - INSPECTION
1333994,58044,2011-05-05,N,A,98.0,98.0,1 - INSPECTION
1333999,56908,2011-05-04,Y,A,99.0,101.0,1 - INSPECTION
1334093,63731,2011-05-10,Y,A,97.0,99.0,1 - INSPECTION
1334099,56982,2011-05-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1334122,85660,2011-05-09,N,,,,V - VISIT
983658,58087,2008-09-08,N,A,95.0,95.0,1 - INSPECTION
983701,58063,2008-09-08,Y,A,99.0,101.0,1 - INSPECTION
989730,57050,2008-10-15,Y,A,96.0,98.0,1 - INSPECTION
989793,57490,2008-10-15,N,B,86.0,86.0,1 - INSPECTION
990011,56738,2008-10-09,N,,,,V - VISIT
990112,57183,2008-10-20,N,A,93.0,93.0,1 - INSPECTION
990115,57764,2008-10-20,N,A,97.0,97.0,1 - INSPECTION
990262,58326,2008-10-21,N,A,98.0,98.0,1 - INSPECTION
990634,57827,2008-10-21,N,A,98.0,98.0,1 - INSPECTION
991134,56023,2008-10-27,N,A,95.0,95.0,1 - INSPECTION
991380,56817,2008-10-29,N,A,98.0,98.0,1 - INSPECTION
991382,57181,2008-10-29,N,A,96.0,96.0,1 - INSPECTION
991680,57682,2008-10-30,N,A,96.0,96.0,1 - INSPECTION
1074032,56692,2009-03-10,Y,A,96.0,98.0,1 - INSPECTION
1074229,58105,2009-03-11,Y,A,98.0,100.0,1 - INSPECTION
1114277,57688,2009-03-08,N,A,96.0,96.0,1 - INSPECTION
1114353,58094,2009-03-13,Y,A,99.0,101.0,1 - INSPECTION
1114386,60507,2009-03-12,Y,A,95.0,97.0,1 - INSPECTION
922381,57676,2007-07-31,Y,A,100.0,102.0,1 - INSPECTION
